"한국표준직업분류6차","학력별","성별","연령","시점","평균연령[세]","평균근속년수[년]","근로일수[일]","총근로시간[시간]","소정실근로시간[시간]","초과근로시간[시간]","휴일근로시간[시간]","월임금총액[천원]","월급여액[천원]","정액급여[천원]","초과급여[천원]","전년도연간특별급여/12개월[천원]","연간특별급여[천원]","근로자수[명]",
"전직종","전학력","계","25 ~ 29","2015 년","27.1","2.3","22.4","185","175.4","9.6","4.5","2488","2218","2018","201","270","3237","1193985",
"전직종","전학력","계","25 ~ 29","2016 년","27.1","2.3","21.7","182.4","169","13.5","4.2","2565","2282","2096","187","283","3392","1214845",
"전직종","전학력","계","25 ~ 29","2017 년","27.1","2.2","21.5","181.2","168.1","13.1","3.9","2623","2352","2156","196","270","3246","1272168",
"전직종","전학력","계","25 ~ 29","2018 년","27.1","2.2","20.1","167.8","155.8","11.9","4","2747","2466","2266","200","281","3368","1296079",
"전직종","전학력","계","25 ~ 29","2019 년","27.1","2.2","19.7","164.3","153.5","10.8","2.9","2856","2583","2389","194","272","3265","1316411",
"전직종","전학력","계","30 ~ 34","2012 년","31.9","4.2","21.2","180.6","164.7","15.9","-","2847","2422","2239","183","425","5098","1486251",
"전직종","전학력","계","30 ~ 34","2013 년","31.9","4.2","20.5","174.6","158.3","16.3","-","2910","2480","2278","202","430","5156","1455453",
"전직종","전학력","계","30 ~ 34","2014 년","32","4.1","20.7","175.4","160.6","14.8","-","3132","2631","2420","211","500","6004","1574963",
"전직종","전학력","계","30 ~ 34","2015 년","32.1","4.1","22.5","185.3","175.6","9.7","4.6","3057","2653","2436","216","404","4851","1495573",
"전직종","전학력","계","30 ~ 34","2016 년","32.1","4.2","21.7","183","169.2","13.7","4.4","3191","2718","2514","205","473","5676","1489368",
"전직종","전학력","계","30 ~ 34","2017 년","32.1","4","21.6","181.9","168.5","13.4","4.1","3239","2814","2594","220","425","5096","1423778",
"전직종","전학력","계","30 ~ 34","2018 년","32","4.1","20.1","168.1","155.4","12.7","4.3","3376","2928","2700","228","448","5377","1354775",
"전직종","전학력","계","30 ~ 34","2019 년","32","4.1","19.7","164.5","153.3","11.2","3.2","3456","3010","2795","215","445","5343","1364259",
"전직종","전학력","계","35 ~ 39","2012 년","37","6.1","21.3","180.4","165.2","15.1","-","3304","2822","2630","191","482","5786","1293367",
"전직종","전학력","계","35 ~ 39","2013 년","37","6.2","20.5","174.2","158.8","15.4","-","3370","2867","2663","204","504","6045","1262499",
"전직종","전학력","계","35 ~ 39","2014 년","37","6","20.6","174.6","160.2","14.3","-","3579","3013","2801","212","566","6795","1299262",
"전직종","전학력","계","35 ~ 39","2015 년","36.9","6","22.4","184.6","175.6","9","4.2","3605","3070","2850","220","535","6419","1374275",
"전직종","전학력","계","35 ~ 39","2016 년","36.9","6.1","21.8","182.5","169.1","13.4","4.4","3676","3115","2895","220","561","6737","1472577",
"전직종","전학력","계","35 ~ 39","2017 년","36.9","5.8","21.7","181.9","168.6","13.4","4.3","3719","3212","2970","241","507","6086","1495971",
"전직종","전학력","계","35 ~ 39","2018 년","36.9","5.9","20.2","168.1","155.5","12.6","4.5","3873","3333","3088","244","540","6484","1528126",
"전직종","전학력","계","35 ~ 39","2019 년","37","6.1","19.8","164.8","153.4","11.4","3.5","4001","3442","3201","242","558","6701","1543573",
"전직종","전학력","계","40 ~ 44","2012 년","41.9","7.9","21.4","182.2","166","16.3","-","3525","2976","2758","218","549","6590","1257279",
"전직종","전학력","계","40 ~ 44","2013 년","42","7.9","20.7","175.5","159.6","15.9","-","3610","3037","2815","222","573","6874","1312219",
"전직종","전학력","계","40 ~ 44","2014 년","42","7.6","20.7","175.2","160.7","14.6","-","3806","3191","2968","223","615","7375","1356341",
"전직종","전학력","계","40 ~ 44","2015 년","42","7.7","22.5","184.5","175.7","8.7","4.1","3895","3272","3042","229","623","7482","1413588",
"전직종","전학력","계","40 ~ 44","2016 년","42","7.7","21.8","182.1","169.4","12.6","4.2","3928","3320","3100","220","607","7288","1444021",
"전직종","전학력","계","40 ~ 44","2017 년","42","7.4","21.7","181.1","168.5","12.7","4.2","3980","3422","3182","240","558","6701","1412853",
"전직종","전학력","계","40 ~ 44","2018 년","42","7.6","20.2","167.6","155.8","11.8","4.4","4159","3572","3328","244","588","7051","1387422",
"전직종","전학력","계","40 ~ 44","2019 년","42","7.7","19.9","164.5","153.7","10.8","3.5","4293","3690","3448","241","603","7241","1384689",
"전직종","전학력","계","45 ~ 49","2012 년","46.9","9.3","21.6","184.7","166.9","17.8","-","3572","2987","2740","247","585","7016","1013667",
"전직종","전학력","계","45 ~ 49","2013 년","46.9","9.3","20.9","178.3","160.3","18","-","3690","3079","2824","255","611","7332","1040376",
"전직종","전학력","계","45 ~ 49","2014 년","46.9","8.8","20.8","177.2","161.2","16","-","3780","3165","2928","237","616","7388","1144716",
"전직종","전학력","계","45 ~ 49","2015 년","46.9","8.9","22.5","184.9","175.3","9.5","4.4","3866","3253","3010","242","613","7356","1242822",
"전직종","전학력","계","45 ~ 49","2016 년","46.9","9.1","21.9","183","169.3","13.7","4.5","3962","3349","3110","239","612","7347","1360913",
"전직종","전학력","계","45 ~ 49","2017 년","46.9","9","21.8","181.6","168.5","13","4.3","4129","3513","3261","252","616","7394","1388938",
"전직종","전학력","계","45 ~ 49","2018 년","47","9.1","20.3","168.1","156.2","11.9","4.4","4275","3655","3402","253","620","7442","1433098",
"전직종","전학력","계","45 ~ 49","2019 년","47","9.2","20","164.7","154","10.7","3.5","4401","3774","3532","242","626","7516","1452996",
"전직종","전학력","계","50 ~ 54","2012 년","51.9","10.3","21.7","185.4","166.9","18.5","-","3440","2903","2656","248","537","6443","882277",
"전직종","전학력","계","50 ~ 54","2013 년","51.9","10.6","21","179.5","160.8","18.7","-","3629","3033","2770","263","596","7149","956468",
"전직종","전학력","계","50 ~ 54","2014 년","52","9.8","20.9","178.4","161.9","16.6","-","3662","3107","2865","242","555","6662","956535",
"전직종","전학력","계","50 ~ 54","2015 년","52","9.9","22.6","185.4","175.4","10","4.6","3743","3182","2938","244","561","6730","1030179",
"전직종","전학력","계","50 ~ 54","2016 년","51.9","10","21.9","183.6","169.4","14.2","4.6","3824","3271","3028","243","553","6639","1088714",
"전직종","전학력","계","50 ~ 54","2017 년","51.9","10.1","21.9","182.9","168.7","14.2","4.8","4057","3458","3188","270","600","7196","1109890",
"전직종","전학력","계","50 ~ 54","2018 년","51.9","10.1","20.6","170","156.9","13","4.9","4170","3575","3307","268","595","7137","1138921",
"전직종","전학력","계","50 ~ 54","2019 년","51.9","10.4","20.1","164.9","153.8","11.1","3.9","4312","3711","3462","249","600","7206","1257121",
"전직종","전학력","계","55 ~ 59","2012 년","56.7","8.9","21.7","185.6","170.3","15.3","-","3023","2626","2432","194","397","4768","507342",
"전직종","전학력","계","55 ~ 59","2013 년","56.7","9.6","21","179","163.5","15.5","-","3259","2805","2591","214","454","5452","578518",
"전직종","전학력","계","55 ~ 59","2014 년","56.8","8.7","20.9","177","162.9","14.1","-","3206","2802","2605","197","404","4846","622662",
"전직종","전학력","계","55 ~ 59","2015 년","56.7","9","22.5","183.7","174.7","9","4.1","3306","2906","2698","209","399","4791","728775",
"전직종","전학력","계","55 ~ 59","2016 년","56.7","9.3","21.9","181.7","168.7","13","4","3405","3006","2796","211","398","4779","860866",
"전직종","전학력","계","55 ~ 59","2017 년","56.8","9.7","21.8","181.1","168","13.1","4.3","3620","3159","2924","236","460","5526","910227",
"전직종","전학력","계","55 ~ 59","2018 년","56.9","10","20.6","168.9","156.4","12.5","4.7","3759","3301","3059","243","458","5495","969024",
"전직종","전학력","계","55 ~ 59","2019 년","57","10.3","20.2","163.9","153.5","10.5","3.8","3929","3454","3231","223","475","5701","1032294",
"전직종","전학력","계","60세 ~","2012 년","64.6","5.5","21.1","184.9","177.2","7.7","-","2141","1995","1913","82","146","1752","424188",
"전직종","전학력","계","60세 ~","2013 년","64.7","5.8","20.6","179.1","171.7","7.5","-","2295","2145","2059","86","150","1797","471687",
"전직종","전학력","계","60세 ~","2014 년","64.7","5.3","20.4","176.5","169","7.5","-","2255","2106","2015","91","149","1783","521709",
"전직종","전학력","계","60세 ~","2015 년","64.7","5.5","21.8","181.5","177.2","4.3","2.2","2333","2182","2090","92","151","1810","622330",
"전직종","전학력","계","60세 ~","2016 년","64.7","5.6","21.3","178.1","171","7","2.1","2426","2285","2187","98","141","1687","714175",
"전직종","전학력","계","60세 ~","2017 년","64.7","5.6","21.3","175.3","168.3","7","2.2","2498","2357","2253","104","141","1695","749680",
"전직종","전학력","계","60세 ~","2018 년","64.7","5.8","20.3","161.7","155","6.6","2.3","2689","2547","2436","111","142","1701","845578",
"전직종","전학력","계","60세 ~","2019 년","64.7","6","19.9","156.5","150.4","6","2","2787","2654","2546","108","133","1597","984779",
"전직종","전학력","남","계","2012 년","41","7.1","21.4","185.8","167.3","18.4","-","3404","2878","2641","237","526","6309","5667539",
"전직종","전학력","남","계","2013 년","41.6","7.3","20.7","179.7","161.1","18.5","-","3547","2986","2734","252","560","6726","5708678",
"전직종","전학력","남","계","2014 년","41.3","6.9","20.8","179.8","162.8","17","-","3718","3122","2871","251","596","7149","5926427",
"전직종","전학력","남","계","2015 년","41.9","7.1","22.5","188.5","177.3","11.2","5.1","3780","3215","2952","263","565","6784","6166738",
"전직종","전학력","남","계","2016 년","42.3","7.3","21.8","186.3","171","15.4","5","3868","3289","3034","255","579","6947","6489668",
"전직종","전학력","남","계","2017 년","42.5","7.2","21.7","185.4","170.1","15.3","5","3981","3418","3138","280","563","6756","6504718",
"전직종","전학력","남","계","2018 년","42.9","7.4","20.4","172","157.6","14.4","5.4","4144","3562","3277","285","581","6978","6494543",
"전직종","전학력","남","계","2019 년","43.4","7.7","20","168.3","155.4","12.9","4.2","4277","3686","3410","275","591","7092","6681040",
"전직종","전학력","남","~ 19세","2012 년","18.4",".6","19.7","166.9","142.9","24","-","1261","1227","1013","214","35","415","15499",
"전직종","전학력","남","~ 19세","2013 년","18.5",".6","19.9","174.5","146.7","27.7","-","1442","1409","1161","247","33","393","19002",
"전직종","전학력","남","~ 19세","2014 년","18.5",".7","19.5","168.9","145.7","23.2","-","1498","1454","1219","235","44","525","23870",
"전직종","전학력","남","~ 19세","2015 년","18.5",".7","20.8","164.9","154.5","10.4","4.6","1483","1439","1250","189","45","535","26717",
"전직종","전학력","남","~ 19세","2016 년","18.5",".7","20","165.4","147.3","18.1","5.6","1503","1460","1246","214","42","507","30204",
"전직종","전학력","남","~ 19세","2017 년","18.5",".8","20.7","175.5","156.9","18.6","6","1706","1658","1437","221","48","571","24707",
"전직종","전학력","남","~ 19세","2018 년","18.5",".8","19","153.4","138.1","15.4","5.5","1741","1691","1487","204","50","596","23866",
"전직종","전학력","남","~ 19세","2019 년","18.6",".7","18.3","150.9","137.8","13.1","3.4","1900","1868","1678","190","32","384","21129",
"전직종","전학력","남","20 ~ 24","2012 년","22.7","1","21.7","194.3","164.5","29.8","-","1741","1641","1372","269","100","1197","153036",
"전직종","전학력","남","20 ~ 24","2013 년","22.8","1.1","21.1","187.6","158.7","29","-","1819","1709","1426","283","110","1320","153672",
"전직종","전학력","남","20 ~ 24","2014 년","22.8","1","20.9","184.7","158.6","26.1","-","1892","1775","1494","282","116","1396","174318",
"전직종","전학력","남","20 ~ 24","2015 년","22.7","1.1","22.2","187.3","171.3","15.9","7","1878","1788","1526","262","90","1082","180740",
"전직종","전학력","남","20 ~ 24","2016 년","22.7","1.1","21.7","187.2","165.9","21.3","7","1957","1862","1604","258","95","1137","194123",
"전직종","전학력","남","20 ~ 24","2017 년","22.7","1.2","21.4","183.6","163.9","19.7","6.1","2019","1928","1676","252","92","1103","209426",
"전직종","전학력","남","20 ~ 24","2018 년","22.7","1.2","20.3","172.8","154.7","18.1","6.4","2182","2085","1824","260","97","1168","195791",
"전직종","전학력","남","20 ~ 24","2019 년","22.7","1.3","19.9","167.7","151.1","16.6","5.4","2323","2224","1960","264","99","1186","184253",
"전직종","전학력","남","25 ~ 29","2012 년","27.4","1.9","21.5","187.3","165.6","21.7","-","2387","2088","1871","217","299","3587","662594",
"전직종","전학력","남","25 ~ 29","2013 년","27.4","1.9","20.8","181.2","159.5","21.8","-","2479","2162","1923","239","316","3795","601107",
"전직종","전학력","남","25 ~ 29","2014 년","27.3","2","20.9","181.7","161.1","20.6","-","2619","2267","2016","251","353","4231","651452",
"전직종","전학력","남","25 ~ 29","2015 년","27.3","2","22.6","190.4","176","14.3","6.5","2584","2302","2033","270","282","3384","639592",
"전직종","전학력","남","25 ~ 29","2016 년","27.3","2","21.9","187.7","169.4","18.3","6","2662","2365","2116","248","298","3572","651569",
"전직종","전학력","남","25 ~ 29","2017 년","27.2","1.9","21.8","187.2","169.3","17.9","5.6","2733","2446","2182","264","286","3438","675351",
"전직종","전학력","남","25 ~ 29","2018 년","27.2","2","20.3","172.8","156.6","16.2","5.8","2860","2554","2290","264","306","3676","684625",
"전직종","전학력","남","25 ~ 29","2019 년","27.2","2","19.9","169.1","154.5","14.6","4.3","2957","2670","2416","254","287","3444","690053",
"전직종","전학력","남","30 ~ 34","2012 년","32","3.9","21.4","185.1","165.2","19.9","-","2971","2504","2277","227","467","5603","1006229",
"전직종","전학력","남","30 ~ 34","2013 년","32","3.9","20.7","179.1","158.8","20.3","-","3040","2567","2318","249","473","5680","979097",
"전직종","전학력","남","30 ~ 34","2014 년","32.1","3.9","20.9","179.9","161.6","18.3","-","3314","2753","2496","257","562","6742","1061480",
"전직종","전학력","남","30 ~ 34","2015 년","32.1","3.9","22.6","189.4","176.6","12.8","5.9","3207","2765","2498","267","442","5301","998510",
"전직종","전학력","남","30 ~ 34","2016 년","32.1","4","21.9","187.3","170","17.3","5.7","3367","2837","2584","253","529","6352","973635",
"전직종","전학력","남","30 ~ 34","2017 년","32.1","3.8","21.8","186.4","169.4","16.9","5.3","3415","2941","2666","275","474","5682","914444",
"전직종","전학력","남","30 ~ 34","2018 년","32.1","3.8","20.3","172.6","156.3","16.3","5.7","3559","3055","2771","284","503","6039","855589",
"전직종","전학력","남","30 ~ 34","2019 년","32","3.9","19.9","168.8","154.5","14.2","4.3","3616","3116","2846","270","500","5997","845692",
"전직종","전학력","남","35 ~ 39","2012 년","37","6.1","21.4","182.9","165.5","17.4","-","3559","3022","2798","225","537","6445","932701",
"전직종","전학력","남","35 ~ 39","2013 년","37","6.2","20.6","177.2","159.2","18","-","3621","3061","2820","241","560","6719","896681",
"전직종","전학력","남","35 ~ 39","2014 년","37","6","20.8","177.8","161","16.8","-","3872","3231","2980","251","641","7692","915883",
"전직종","전학력","남","35 ~ 39","2015 년","36.9","6","22.6","187.7","176.4","11.3","5.2","3887","3289","3023","267","597","7167","966215",
"전직종","전학력","남","35 ~ 39","2016 년","36.9","6.1","21.9","186.4","170.2","16.2","5.3","3982","3337","3069","267","645","7745","1025223",
"전직종","전학력","남","35 ~ 39","2017 년","36.9","5.8","21.8","186","169.7","16.3","5.4","4019","3440","3143","296","579","6949","1027283",
"전직종","전학력","남","35 ~ 39","2018 년","37","5.9","20.4","172.8","157","15.7","5.8","4186","3570","3267","303","616","7390","1028445",
"전직종","전학력","남","35 ~ 39","2019 년","37","6.1","20","169.4","155.2","14.2","4.5","4307","3666","3365","301","641","7692","1038234",
"전직종","전학력","남","40 ~ 44","2012 년","41.9","8.8","21.4","183.6","166.2","17.3","-","4025","3354","3103","252","671","8048","891465",
"전직종","전학력","남","40 ~ 44","2013 년","42","8.7","20.7","177.3","159.9","17.4","-","4122","3422","3162","261","700","8394","912940",
"전직종","전학력","남","40 ~ 44","2014 년","42","8.6","20.8","177.6","161.5","16.1","-","4410","3644","3378","266","766","9191","925840",
"전직종","전학력","남","40 ~ 44","2015 년","42","8.5","22.6","187.3","176.9","10.4","4.9","4493","3720","3439","281","773","9274","961468",
"전직종","전학력","남","40 ~ 44","2016 년","42","8.4","21.9","185.1","170.5","14.6","4.8","4487","3742","3477","266","745","8939","978488",
"전직종","전학력","남","40 ~ 44","2017 년","42","8","21.8","184.9","169.9","15","5","4520","3844","3546","298","676","8118","945900",
"전직종","전학력","남","40 ~ 44","2018 년","42","8.2","20.4","171.9","157.6","14.3","5.6","4714","4002","3696","306","712","8544","908090",
"전직종","전학력","남","40 ~ 44","2019 년","42","8.3","20.1","169.3","155.7","13.6","4.5","4838","4108","3799","309","730","8761","903898",
"전직종","전학력","남","45 ~ 49","2012 년","46.9","11","21.5","185.1","166.5","18.6","-","4215","3460","3171","289","755","9057","705281",
"전직종","전학력","남","45 ~ 49","2013 년","46.9","11","20.8","179","160.3","18.7","-","4390","3587","3290","298","802","9629","709092",
"전직종","전학력","남","45 ~ 49","2014 년","46.9","10.7","20.8","178.7","161.9","16.7","-","4626","3790","3509","280","837","10042","744188",
"전직종","전학력","남","45 ~ 49","2015 년","46.9","10.7","22.6","187.6","176.9","10.7","4.9","4728","3899","3602","297","829","9949","805860",
"전직종","전학력","남","45 ~ 49","2016 년","46.9","10.8","21.9","185.7","170.7","15","5.1","4805","3985","3694","292","820","9840","872094",
"전직종","전학력","남","45 ~ 49","2017 년","46.9","10.7","21.8","184.5","170","14.4","4.8","4969","4152","3841","311","817","9803","892240",
"전직종","전학력","남","45 ~ 49","2018 년","47","10.7","20.4","171.8","158","13.8","5.2","5128","4305","3986","319","823","9875","903793",
"전직종","전학력","남","45 ~ 49","2019 년","47","10.7","20.1","169","156.2","12.8","4.3","5238","4409","4100","310","829","9944","917812",
"전직종","전학력","남","50 ~ 54","2012 년","51.9","12.1","21.6","186.5","167.5","19.1","-","4054","3370","3085","285","684","8213","624058",
"전직종","전학력","남","50 ~ 54","2013 년","51.9","12.5","20.9","180.6","161.2","19.4","-","4307","3534","3230","304","773","9272","668313",
"전직종","전학력","남","50 ~ 54","2014 년","52","11.8","20.9","180.2","163.1","17.1","-","4450","3703","3419","284","747","8961","632134",
"전직종","전학력","남","50 ~ 54","2015 년","52","12.1","22.6","188.7","177.6","11.1","4.9","4615","3842","3546","296","773","9279","668749",
"전직종","전학력","남","50 ~ 54","2016 년","52","12.1","21.9","186.4","171.2","15.2","5","4673","3917","3625","292","756","9078","702979",
"전직종","전학력","남","50 ~ 54","2017 년","51.9","12.2","21.9","185.5","170.1","15.4","5.5","4969","4144","3811","332","826","9911","712090",
"전직종","전학력","남","50 ~ 54","2018 년","51.9","12.4","20.5","172.8","158.3","14.5","5.5","5145","4308","3973","334","837","10050","707346",
"전직종","전학력","남","50 ~ 54","2019 년","51.9","12.9","20.2","168.5","155.8","12.8","4.6","5345","4484","4164","320","861","10331","772491",
"전직종","전학력","남","55 ~ 59","2012 년","56.7","10.3","21.6","188.3","172","16.2","-","3509","3005","2783","222","503","6039","362696",
"전직종","전학력","남","55 ~ 59","2013 년","56.7","11.1","20.9","181.1","164.8","16.3","-","3784","3208","2963","245","576","6914","415571",
"전직종","전학력","남","55 ~ 59","2014 년","56.8","10.4","20.9","180.9","166.1","14.9","-","3800","3271","3043","228","529","6346","422128",
"전직종","전학력","남","55 ~ 59","2015 년","56.7","10.9","22.4","188","178.2","9.8","4.5","3993","3460","3213","247","534","6402","486106",
"전직종","전학력","남","55 ~ 59","2016 년","56.7","11.2","21.9","186.2","172.3","13.9","4.4","4114","3579","3330","249","535","6417","567359",
"전직종","전학력","남","55 ~ 59","2017 년","56.8","11.7","21.8","185.1","170.8","14.3","5","4384","3762","3476","286","622","7469","596261",
"전직종","전학력","남","55 ~ 59","2018 년","56.9","12.2","20.7","172.3","158.3","14","5.4","4560","3924","3626","298","636","7637","619753",
"전직종","전학력","남","55 ~ 59","2019 년","57","12.7","20.2","167.5","155.8","11.7","4.4","4774","4099","3825","274","674","8092","656286",
"전직종","전학력","남","60세 ~","2012 년","64.7","6.1","20.7","193.1","184.9","8.2","-","2393","2217","2126","91","175","2105","313979",
"전직종","전학력","남","60세 ~","2013 년","64.9","6.3","20.3","185.7","178","7.6","-","2546","2368","2275","94","178","2139","353204",
"전직종","전학력","남","60세 ~","2014 년","64.9","5.9","20.1","185.8","178","7.9","-","2550","2365","2264","101","184","2210","375135",
"전직종","전학력","남","60세 ~","2015 년","64.9","6.2","21.5","191.6","187","4.6","2.3","2690","2499","2395","104","191","2296","432781",
"전직종","전학력","남","60세 ~","2016 년","64.9","6.3","21","186.9","179.5","7.4","2.2","2789","2613","2503","110","176","2114","493994",
"전직종","전학력","남","60세 ~","2017 년","64.9","6.3","21.2","184.1","176.6","7.5","2.5","2899","2717","2597","120","182","2183","507017",
"전직종","전학력","남","60세 ~","2018 년","64.9","6.6","20.1","168.7","161.3","7.3","2.5","3090","2904","2776","128","186","2232","567245",
"전직종","전학력","남","60세 ~","2019 년","64.9","6.8","19.7","163.5","157","6.6","2.2","3213","3036","2913","124","177","2122","651192",
"전직종","전학력","여","계","2012 년","37.6","4.4","21.3","175.7","164.5","11.2","-","2204","1958","1843","116","246","2946","2901995",
"전직종","전학력","여","계","2013 년","38.3","4.6","20.6","169.8","158.5","11.3","-","2291","2033","1907","126","258","3097","2975271",
"전직종","전학력","여","계","2014 년","38.7","4.5","20.5","168.9","158.3","10.5","-","2368","2092","1960","132","276","3314","3300803",
"전직종","전학력","여","계","2015 년","39.6","4.6","22.2","176.7","171.5","5.2","2.6","2362","2119","1997","123","243","2913","3476950",
"전직종","전학력","여","계","2016 년","40","4.8","21.6","174.5","165.6","8.9","2.6","2454","2203","2081","123","250","3005","3731673",
"전직종","전학력","여","계","2017 년","40.2","4.7","21.4","173","164.5","8.5","2.5","2544","2298","2173","125","245","2942","3849064",
"전직종","전학력","여","계","2018 년","40.7","4.9","20","160.1","152.5","7.6","2.4","2703","2449","2320","129","254","3044","4015677",
"전직종","전학력","여","계","2019 년","41.4","5.1","19.7","156.1","149.6","6.6","1.8","2827","2574","2453","121","254","3044","4165419",
"전직종","전학력","여","~ 19세","2012 년","18.6",".9","20.4","172.7","152.3","20.4","-","1681","1445","1222","223","236","2834","25542",
"전직종","전학력","여","~ 19세","2013 년","18.6",".8","19.6","159.5","145.6","13.9","-","1566","1390","1219","171","176","2110","27620",
"전직종","전학력","여","~ 19세","2014 년","18.6",".8","18.9","155","141.7","13.3","-","1504","1407","1246","161","97","1164","27440",
"전직종","전학력","여","~ 19세","2015 년","18.6",".7","19.6","151.9","145.3","6.6","3","1380","1307","1168","139","74","884","23647",
"전직종","전학력","여","~ 19세","2016 년","18.5",".7","18.4","144.4","135.9","8.5","1.8","1330","1284","1174","110","46","558","26806",
"전직종","전학력","여","~ 19세","2017 년","18.6",".7","19.4","155.6","147","8.6","1.9","1527","1478","1369","109","49","588","27342",
"전직종","전학력","여","~ 19세","2018 년","18.6",".8","18.1","141.6","134.9","6.7","1.6","1607","1567","1471","95","41","486","25430",
"전직종","전학력","여","~ 19세","2019 년","18.7",".8","18.2","144.5","138.6","5.9","1.8","1860","1782","1679","103","78","941","17949",
"전직종","전학력","여","20 ~ 24","2012 년","22.6","1.3","21.1","174.9","164.2","10.8","-","1775","1606","1492","115","169","2026","292659",
"전직종","전학력","여","20 ~ 24","2013 년","22.5","1.4","20.6","170.1","159.9","10.2","-","1839","1652","1528","124","188","2254","277965",
"전직종","전학력","여","20 ~ 24","2014 년","22.5","1.4","20.5","169.7","159.8","9.9","-","1972","1733","1590","143","239","2870","310116",
"전직종","전학력","여","20 ~ 24","2015 년","22.6","1.3","21.9","176.3","171.3","5","2.7","1889","1749","1621","128","141","1687","311058",
"전직종","전학력","여","20 ~ 24","2016 년","22.6","1.4","21.3","174.8","166.2","8.6","2.3","1917","1794","1677","116","124","1483","324729",
"전직종","전학력","여","20 ~ 24","2017 년","22.6","1.3","20.9","170.3","162.6","7.7","2.1","1935","1809","1699","110","126","1507","328802",
